order_id,customer_name,city,category,product_price,quantity,order_date,payment_mode,discount_percent
1,,Bangalore,Clothing,"1,928.00",,22/02/2024,UPI,
2,,Delhi,Clothing,"4,239.00",5,11/04/2024,,5
3,Amit,Mumbai,Furniture,,2,20/04/2024,Card,0
4,Priya,Bangalore,Electronics,"3,863.00",4,10/02/2024,Card,
5,Sneha,Pune,Electronics,,1,29/04/2024,UPI,15
6,Priya,Mumbai,Grocery,"3,010.00",,16/05/2024,UPI,
7,Sneha,Mumbai,Furniture,,,18/12/2024,Cash,10
8,Sneha,Nagpur,Grocery,,1,18/04/2024,Card,5
9,Neha,Mumbai,Grocery,"1,243.00",,14/10/2024,Card,
10,Priya,Delhi,Clothing,,1,25/01/2024,UPI,5
11,Vikram,Pune,Furniture,,5,08/05/2024,UPI,0
12,Rahul,Chennai,Electronics,,2,20/08/2024,UPI,10
13,Arjun,Pune,Grocery,"4,258.00",2,10/07/2024,Cash,
14,Amit,Chennai,Furniture,259.00,3,06/06/2024,Cash,0
15,Riya,Pune,Furniture,666.00,2,03/12/2024,,
16,Pooja,,Clothing,"4,517.00",,08/06/2024,,10
17,Riya,Delhi,Clothing,,1,28/10/2024,Cash,
18,Amit,Delhi,Electronics,,1,20/09/2024,Cash,10
19,Karan,Hyderabad,Clothing,,2,18/02/2024,UPI,15
20,Amit,Pune,Electronics,,1,07/05/2024,Cash,5
21,Karan,Bangalore,Furniture,"2,146.00",4,08/10/2024,UPI,0
22,Amit,Pune,Clothing,,4,03/09/2024,Cash,15
23,Amit,,Grocery,,4,22/12/2024,,5
24,Amit,Nagpur,Grocery,568.00,5,01/09/2024,Cash,0
25,Karan,Pune,Toys,656.00,4,02/03/2024,Cash,
26,Vikram,Chennai,Grocery,,2,15/05/2024,,5
27,Priya,Pune,Electronics,"3,854.00",1,02/10/2024,Cash,
28,Riya,Delhi,Grocery,"2,434.00",4,05/10/2024,Card,
29,Arjun,Nagpur,Toys,"2,552.00",2,15/05/2024,UPI,0
30,Rahul,Delhi,Grocery,,5,07/09/2024,Card,0
31,Rahul,Nagpur,Electronics,"2,832.00",,14/05/2024,Cash,15
32,Amit,Pune,Electronics,"1,321.00",3,25/10/2024,Cash,15
33,Amit,Chennai,Clothing,"2,144.00",3,13/10/2024,,
34,Sneha,Mumbai,Clothing,"3,477.00",2,19/06/2024,,5
35,Riya,,Electronics,"3,955.00",2,23/08/2024,Card,10
36,Sneha,Nagpur,Clothing,,3,05/02/2024,Card,10
37,Arjun,Chennai,Electronics,,2,24/10/2024,Card,0
38,Priya,,Toys,"4,289.00",4,22/10/2024,Cash,10
,Arjun,Delhi,Grocery,"3,633.00",,18/06/2024,Card,0
40,Rahul,,Grocery,,5,06/03/2024,Cash,15
41,Karan,Bangalore,Furniture,"4,588.00",3,26/05/2024,Cash,15
42,Priya,Hyderabad,Furniture,"3,722.00",5,30/08/2024,Cash,0
43,Pooja,Chennai,Electronics,,2,11/04/2024,Cash,0
,Pooja,Pune,Furniture,"3,495.00",,22/12/2024,,15
45,Amit,Pune,Furniture,"1,892.00",,22/09/2024,,0
46,Riya,Hyderabad,Clothing,,4,09/11/2024,,
47,Neha,Hyderabad,Grocery,,5,05/09/2024,Cash,10
48,Sneha,Bangalore,Grocery,"2,719.00",2,18/03/2024,Cash,15
49,Riya,,Furniture,,4,01/02/2024,Cash,15
50,Amit,,Furniture,,3,18/07/2024,,
51,Pooja,Delhi,Furniture,,4,05/09/2024,UPI,15
52,Vikram,Mumbai,Furniture,"1,145.00",4,30/10/2024,UPI,0
53,Neha,Mumbai,Electronics,,3,18/04/2024,,10
54,Rahul,,Grocery,,1,03/10/2024,UPI,10
55,Amit,Nagpur,Clothing,"1,733.00",5,19/03/2024,Cash,5
56,Sneha,Hyderabad,Grocery,"3,121.00",5,06/11/2024,UPI,5
57,Amit,Bangalore,Toys,,,11/04/2024,UPI,
58,Riya,Bangalore,Toys,"1,091.00",3,29/09/2024,,10
59,Amit,,Furniture,,3,21/11/2024,,5
60,Rahul,Hyderabad,Furniture,,3,05/05/2024,UPI,10
61,Neha,,Grocery,,3,03/04/2024,,5
62,Rahul,Bangalore,Toys,183.00,1,03/05/2024,,15
63,Neha,Hyderabad,Furniture,241.00,3,23/04/2024,,5
64,Neha,Chennai,Furniture,,3,25/12/2024,,10
65,Sneha,Chennai,Electronics,"4,489.00",2,20/04/2024,,10
66,Arjun,Bangalore,Electronics,,2,03/07/2024,Cash,10
,Rahul,Nagpur,Electronics,,,05/03/2024,,0
68,Neha,Hyderabad,Furniture,"2,891.00",1,09/05/2024,,0
69,Riya,Nagpur,Clothing,,1,07/05/2024,UPI,
70,Pooja,Delhi,Toys,,4,01/06/2024,,10
71,Riya,Delhi,Clothing,"2,267.00",2,02/05/2024,Cash,
72,,Hyderabad,Toys,,1,28/04/2024,Card,10
73,Sneha,Bangalore,Toys,,1,05/10/2024,Cash,5
74,Riya,Nagpur,Clothing,,4,04/03/2024,,10
75,Arjun,Hyderabad,Furniture,758.00,4,14/06/2024,Card,0
76,Pooja,Nagpur,Grocery,"4,820.00",2,28/08/2024,,10
77,Neha,Pune,Furniture,,3,13/06/2024,UPI,5
78,Rahul,,Toys,,1,10/06/2024,Card,10
79,Arjun,Nagpur,Toys,,1,06/04/2024,Card,
80,Amit,Delhi,Grocery,"4,599.00",3,12/08/2024,,0
,Sneha,Mumbai,Grocery,"4,612.00",5,27/07/2024,UPI,5
82,Neha,Pune,Clothing,,5,27/12/2024,Card,15
83,Sneha,Hyderabad,Toys,,2,02/11/2024,Cash,0
84,Vikram,Chennai,Toys,"2,288.00",3,01/06/2024,,5
85,Priya,,Furniture,"2,736.00",,02/05/2024,,5
86,Priya,Hyderabad,Furniture,"3,262.00",4,19/01/2024,Cash,
87,Riya,Hyderabad,Electronics,,1,14/03/2024,,5
88,Rahul,Chennai,Toys,"3,356.00",3,11/12/2024,,10
89,Neha,Nagpur,Toys,660.00,,16/12/2024,Card,5
90,Riya,Pune,Furniture,,1,24/01/2024,Card,0
91,Karan,Delhi,Toys,"3,475.00",2,30/03/2024,UPI,
92,Sneha,Hyderabad,Toys,"1,272.00",4,22/11/2024,Card,15
93,,Hyderabad,Grocery,"4,577.00",1,14/08/2024,Card,
94,Rahul,Hyderabad,Grocery,,4,24/02/2024,Cash,15
95,Rahul,Nagpur,Furniture,"2,348.00",5,17/12/2024,UPI,
96,Rahul,Delhi,Toys,"2,986.00",,07/04/2024,Card,5
97,Amit,Bangalore,Furniture,,,08/03/2024,UPI,10
98,Sneha,Mumbai,Toys,,2,11/05/2024,,10
99,Riya,Hyderabad,Electronics,"1,253.00",,11/12/2024,,
100,Amit,Bangalore,Toys,,3,10/12/2024,Card,
